Zip Code,Lat,Long
91776,34.089927,-118.095645
91780,34.101608,-118.055848
91784,34.141146,-117.655583
91786,34.105493,-117.660934
91789,34.018354,-117.85492
91790,34.066964,-117.937007
91791,34.061634,-117.893169
91792,34.024405,-117.898722
91801,34.090925,-118.128164
91803,34.074736,-118.145959
91901,32.827184,-116.703729
91902,32.67117,-117.00232
91905,32.677097,-116.304991
91906,32.673483,-116.472863
91910,32.636792,-117.054989
91911,32.607964,-117.059459
91913,32.64164,-116.985026
91914,32.688506,-116.938632
91915,32.605012,-116.97595
91916,32.912664,-116.635387
91917,32.622999,-116.687855
91932,32.579134,-117.119009
91934,32.649787,-116.2237
91935,32.695681,-116.798386
91941,32.759327,-116.99726
91942,32.782501,-117.01611
91945,32.733564,-117.033713
91950,32.67102,-117.095235
91962,32.800671,-116.483363
91963,32.619465,-116.593605
91977,32.726627,-116.994608
91978,32.730264,-116.950963
91980,32.587557,-116.636816
92003,33.290907,-117.202895
92004,33.200369,-116.192313
92007,33.015866,-117.272254
92008,33.148116,-117.306043
92009,33.098018,-117.258203
92010,33.1639,-117.3009
92011,33.1072,-117.2943
92014,32.948262,-117.256086
92019,32.785165,-116.862648
92020,32.79697,-116.969082
92021,32.832706,-116.873258
92024,33.054579,-117.25665
92025,33.081478,-117.033814
92026,33.21846,-117.116916
92027,33.141265,-116.967221
92028,33.362575,-117.299644
92029,33.079834,-117.134275
92036,32.980678,-116.262854
92037,32.853743,-117.25034
92040,32.909873,-116.906774
92054,33.351059,-117.420557
92055,33.2433,-117.3768
92056,33.194742,-117.29032
92057,33.254497,-117.285879
92058,33.1959,-117.3795
92059,33.384345,-117.072619
92061,33.313828,-116.940501
92064,32.984395,-117.013454
92065,33.044541,-116.833922
92066,33.215251,-116.53633
92067,33.012751,-117.200617
92069,33.162624,-117.170863
92070,33.174725,-116.743329
92071,32.847336,-116.997605
92075,33.001813,-117.263628
92078,33.119028,-117.166036
92081,33.1644,-117.2403
92082,33.25283,-116.986079
92083,33.17494,-117.242761
92084,33.22784,-117.200024
92086,33.323705,-116.626907
92091,32.99356,-117.207121
92093,32.8473,-117.2742
92096,33.1434,-117.1661
92101,32.72523,-117.171346
92102,32.716007,-117.117462
92103,32.747484,-117.166877
92104,32.741499,-117.127409
92105,32.741859,-117.090353
92106,32.71346,-117.236378
92107,32.741852,-117.243453
92108,32.774046,-117.142454
92109,32.787836,-117.232376
92110,32.76501,-117.19938
92111,32.805518,-117.169052
92113,32.697098,-117.116587
92114,32.707892,-117.05512
92115,32.762506,-117.07245
92116,32.765299,-117.122565
92117,32.825086,-117.199424
92118,32.68674,-117.186612
